article_id,expr_type,value,char_offset
303.txt,"month, relative-interval",day,1377
303.txt,"month, relative-interval", last year,1555
303.txt,"month, relative-interval", year,2603
303.txt,dayofweek, Monday ,1182
1697.txt,"month, relative-interval"," hour

",28
1697.txt,"month, relative-interval", hour,164
1697.txt,"month, relative-interval", hour,208
1697.txt,"month, relative-interval", hour,714
1697.txt,"month, relative-interval", hour,1384
1697.txt,dayofweek,"
Sun ",34
1697.txt,dayofweek,"
Sun ",171
1697.txt,dayofweek, Sun ,440
1697.txt,dayofweek, Sun ,1068
1697.txt,dayofweek, Sun ,1421
465.txt,month, June ,592
465.txt,year,2003,131
465.txt,year, 1997,421
465.txt,year,2003,598
465.txt,year,2004,607
465.txt,year,2003,714
465.txt,"month, relative-interval",year,990
465.txt,"month, relative-interval",day,1103
465.txt,"month, relative-interval", year,1180
471.txt,year, 1922,355
471.txt,year, 1961,1417
471.txt,year, 1971,3234
471.txt,year, 1999,3293
471.txt,year,2001,3478
471.txt,year,2002,4017
471.txt,year,2004,4039
471.txt,"month, relative-interval",day ,293
471.txt,"month, relative-interval", year,624
471.txt,"month, relative-interval",day ,1641
471.txt,"month, relative-interval", year,3079
471.txt,"month, relative-interval",day,3152
471.txt,"month, relative-interval", year,3195
471.txt,"month, relative-interval",year,3796
471.txt,"month, relative-interval", year,3948
471.txt,season, fall ,1728
1683.txt,month, November ,1940
1683.txt,year,2004,110
1683.txt,"month, relative-interval", last year,266
317.txt,year,2004,97
317.txt,year,2004,1690
317.txt,year,2005,1910
317.txt,"month, relative-interval", month,86
317.txt,"month, relative-interval", month ,245
317.txt,"month, relative-interval", year,363
317.txt,"month, relative-interval", year,1435
317.txt,"month, relative-interval", year,1569
317.txt,season, fall ,1886
1668.txt,month, November ,208
1668.txt,month, may ,1739
1668.txt,"month, relative-interval", day,2217
1654.txt,day-month, 24 March,459
1132.txt,year,2004,1166
1132.txt,year, 1976,2170
1132.txt,year,2002,2526
1132.txt,year,2000,2779
1132.txt,year,2003,3051
1132.txt,year, 1999,3153
1132.txt,"month, relative-interval", next week,115
1132.txt,"month, relative-interval", last year,614
1132.txt,"month, relative-interval", year,743
1132.txt,"month, relative-interval",year,1571
1132.txt,"month, relative-interval", last year,1702
1132.txt,"month, relative-interval",year,2184
1132.txt,"month, relative-interval", last year,2387
1132.txt,"month, relative-interval",day,2850
1132.txt,"month, relative-interval", year,2931
1132.txt,day-month,"
4 Mar",3526
1132.txt,day-month,"
28 Mar",4209
1132.txt,day-month,"
4 Mar",4430
1132.txt,day-month,"
24 Mar",5015
1126.txt,"month, relative-interval",day,169
1126.txt,"month, relative-interval",day,523
1640.txt,year,2003,582
1640.txt,"month, relative-interval",day,229
1640.txt,"month, relative-interval", Tomorrow,283
1640.txt,"month, relative-interval", last year ,1098
1640.txt,dayofweek, Monday ,345
883.txt,month, March ,2099
883.txt,"month, relative-interval", week,130
883.txt,"month, relative-interval", week,350
883.txt,"month, relative-interval", day,667
883.txt,"month, relative-interval", week,832
883.txt,"month, relative-interval", month,1035
883.txt,"month, relative-interval", last week ,1481
883.txt,"month, relative-interval", year,1865
883.txt,"month, relative-interval", last week,2175
883.txt,day-month, 23 March,496
883.txt,day-month, 23 March,2096
883.txt,season, spring ,243
129.txt,month, may ,456
129.txt,month, July ,877
129.txt,year,2003,883
129.txt,"month, relative-interval",day,925
129.txt,"month, relative-interval",day,957
129.txt,"month, relative-interval", year,1138
129.txt,"month, relative-interval", year ,1232
129.txt,"month, relative-interval", year,1377
897.txt,month, July ,996
897.txt,month, may ,1678
897.txt,month, September ,1881
897.txt,"month, relative-interval", year ,1006
897.txt,"month, relative-interval", year,1109
897.txt,"month, relative-interval", year,1319
897.txt,"month, relative-interval", last year ,1394
897.txt,"month, relative-interval",minute ,1426
897.txt,"month, relative-interval",year ,2303
897.txt,"month, relative-interval", year,2329
667.txt,month, January ,554
667.txt,year, 1999,1168
667.txt,year,2001,1204
667.txt,year,2005,1357
667.txt,"month, relative-interval", year,84
667.txt,"month, relative-interval", year,130
667.txt,"month, relative-interval", month,697
667.txt,"month, relative-interval", season ,708
667.txt,"month, relative-interval", year,1046
667.txt,"month, relative-interval", year,1481
667.txt,day-month, 27 February,481
667.txt,day-month, 25 January,551
667.txt,day-month year,27 February 2005,482
1495.txt,month, may ,3562
1495.txt,year, 1991,141
1495.txt,year, 1956,405
1495.txt,year, 1731,1045
1495.txt,year, 1761,1095
1495.txt,year, 1900,1150
1495.txt,year, 1983,1617
1495.txt,year, 1891,1806
1495.txt,year, 1980,5939
1495.txt,"month, relative-interval", year,2383
1495.txt,"month, relative-interval", hour ,3740
1495.txt,"month, relative-interval", today,3777
1495.txt,"month, relative-interval", day ,3811
1495.txt,"month, relative-interval", week,5171
1495.txt,"month, relative-interval", year,7272
1495.txt,"month, relative-interval", today ,8703
101.txt,"month, relative-interval",day ,75
101.txt,"month, relative-interval", last week ,403
101.txt,"month, relative-interval",day,1318
101.txt,"month, relative-interval",day,1791
101.txt,dayofweek, Sunday ,641
101.txt,season, fall ,850
115.txt,month," December
",24
115.txt,month, December ,546
115.txt,month, December ,700
115.txt,year, 1999,362
115.txt,year,2001,1812
115.txt,year,2002,1821
115.txt,year,2001,1985
115.txt,year,2001,2421
115.txt,"month, relative-interval", year ,60
115.txt,"month, relative-interval","

Season",139
115.txt,"month, relative-interval", month,183
115.txt,"month, relative-interval", month ,209
115.txt,"month, relative-interval", year,313
115.txt,"month, relative-interval",year ,622
115.txt,"month, relative-interval",day ,631
115.txt,"month, relative-interval", month ,739
115.txt,"month, relative-interval", year ,783
115.txt,"month, relative-interval", month,989
115.txt,"month, relative-interval", year,1783
115.txt,"month, relative-interval", year ,2000
1481.txt,month, may ,4555
1481.txt,year, 1998,668
1481.txt,"month, relative-interval", year,99
1481.txt,"month, relative-interval", day,5276
1481.txt,"month, relative-interval", hour,5297
673.txt,month, June ,488
673.txt,year,2002,494
673.txt,year, 1958,644
673.txt,year, 1000,691
673.txt,"month, relative-interval",day,103
673.txt,"month, relative-interval", year,110
673.txt,"month, relative-interval",day,277
673.txt,"month, relative-interval",day,546
673.txt,"month, relative-interval", week,770
673.txt,"month, relative-interval", week ,789
840.txt,year, 1994,229
840.txt,"month, relative-interval",year ,373
840.txt,"month, relative-interval", day,621
698.txt,day-month, 8 November,1005
854.txt,month, may ,2104
854.txt,month, may ,2148
854.txt,month, may ,3255
854.txt,"month, relative-interval","

Last week ",1196
854.txt,"month, relative-interval", today ,2268
854.txt,"month, relative-interval", month,2648
854.txt,day-month, 7 March,3533
854.txt,day-month, 17 March,3738
854.txt,day-month year,7 March 2003,3534
854.txt,day-month year,17 March 2003,3739
1318.txt,year, 1994,1708
1318.txt,"month, relative-interval",day,125
1318.txt,"month, relative-interval", last week,598
1318.txt,"month, relative-interval", day,1429
1318.txt,"month, relative-interval", year,1766
1318.txt,"month, relative-interval", week,1966
14.txt,month, December ,315
14.txt,year,2004,218
14.txt,year,2004,482
14.txt,year, 1971,598
14.txt,year,2004,1132
14.txt,"month, relative-interval", month ,76
14.txt,"month, relative-interval", month,207
14.txt,"month, relative-interval", year ,307
14.txt,"month, relative-interval", last month,458
14.txt,"month, relative-interval", last year,1217
14.txt,"month, relative-interval", year,1339
14.txt,season, fall ,749
1330.txt,year, 1998,661
1330.txt,"month, relative-interval",year,150
1330.txt,"month, relative-interval",day ,643
1330.txt,"month, relative-interval",day,700
1456.txt,"month, relative-interval",day,141
1456.txt,"month, relative-interval", few day,215
1456.txt,"month, relative-interval", last week,610
1456.txt,"month, relative-interval", season,801
1442.txt,year,2002,1358
1442.txt,"month, relative-interval", week,139
1442.txt,"month, relative-interval",day,243
1442.txt,"month, relative-interval", week,252
1442.txt,"month, relative-interval", week,325
1442.txt,"month, relative-interval",year,516
1442.txt,"month, relative-interval", month,547
1442.txt,"month, relative-interval", season ,561
1442.txt,"month, relative-interval", day,771
1442.txt,"month, relative-interval", week,863
1442.txt,"month, relative-interval", next month,1006
1442.txt,"month, relative-interval", month,1281
1442.txt,season, summer ,680
868.txt,"month, relative-interval", day,758
868.txt,"month, relative-interval",day,809
868.txt,"month, relative-interval", day,2022
868.txt,"month, relative-interval",month,2055
868.txt,"month, relative-interval",day,2370
868.txt,"month, relative-interval", month,2535
1324.txt,year,2005,1184
1324.txt,"month, relative-interval",day,167
1324.txt,"month, relative-interval",year,549
1324.txt,"month, relative-interval",day ,1099
1324.txt,"month, relative-interval",day,1112
28.txt,month, may ,545
28.txt,year,2004,245
28.txt,year,2001,765
28.txt,year,2002,1047
28.txt,year,2004,1150
28.txt,"month, relative-interval", year ,270
28.txt,"month, relative-interval", last week ,377
28.txt,"month, relative-interval", year,1344
28.txt,"month, relative-interval", year,1385
1287.txt,year,2003,548
1287.txt,"month, relative-interval", season,279
1287.txt,"month, relative-interval",day,594
713.txt,year, 1969,680
713.txt,"month, relative-interval",year,176
713.txt,"month, relative-interval", year,315
713.txt,"month, relative-interval", month ,1221
707.txt,year,2001,496
707.txt,year, 1995,1149
707.txt,"month, relative-interval",year ,91
1293.txt,"month, relative-interval",day,892
1278.txt,month, may ,299
1278.txt,"month, relative-interval",year,89
1278.txt,"month, relative-interval", last season,282
1278.txt,"month, relative-interval",year ,315
1278.txt,"month, relative-interval",month ,1293
1278.txt,month-year, October 18 ,2347
934.txt,year, 1945,1381
934.txt,"month, relative-interval", Day ,274
934.txt,"month, relative-interval", week ,1183
934.txt,day-month, 27 January,281
920.txt,year, 1994,261
920.txt,year,2000,271
920.txt,year,2000,2182
920.txt,year, 1994,2202
920.txt,year,2006,2551
920.txt,year,2006,3083
1244.txt,month, December ,962
1244.txt,"month, relative-interval",year,169
1244.txt,"month, relative-interval",day ,529
1244.txt,"month, relative-interval", next week ,1797
1244.txt,"month, relative-interval", day,1848
908.txt,"month, relative-interval", month,79
908.txt,"month, relative-interval", month,484
908.txt,"month, relative-interval", month,681
908.txt,"month, relative-interval", month,708
908.txt,"month, relative-interval", Today ,1665
908.txt,"month, relative-interval", last year ,2742
1522.txt,year, 1991,141
1522.txt,year, 1956,405
1522.txt,year, 1731,1017
1522.txt,year, 1761,1067
1522.txt,year, 1900,1122
1522.txt,year, 1983,1590
1522.txt,year, 1891,1779
1522.txt,year, 1980,4234
1522.txt,"month, relative-interval", week,3466
1522.txt,"month, relative-interval", year,5567
1522.txt,"month, relative-interval", today ,6998
1536.txt,"month, relative-interval", month,2721
1536.txt,"month, relative-interval", year,3820
1250.txt,year,2003,1132
1250.txt,year,2005,2778
1250.txt,"month, relative-interval",day,170
1250.txt,"month, relative-interval", few year,472
1250.txt,"month, relative-interval",year,723
1250.txt,"month, relative-interval", season,1183
1250.txt,"month, relative-interval", season ,1497
1250.txt,"month, relative-interval", week,1685
1250.txt,"month, relative-interval",day,1799
1250.txt,"month, relative-interval", Noon,2138
1250.txt,"month, relative-interval", last year,2706
1250.txt,season, autumn ,934
1250.txt,season, summer ,1121
539.txt,year, 1993,827
539.txt,"month, relative-interval",day,145
539.txt,"month, relative-interval", year ,554
539.txt,"month, relative-interval", day,905
539.txt,"month, relative-interval", year,2330
539.txt,"month, relative-interval", last year,2412
539.txt,"month, relative-interval", year,2677
277.txt,month, may ,779
277.txt,month, may ,1774
277.txt,"month, relative-interval", week,1513
277.txt,"month, relative-interval", next year,1719
511.txt,"month, relative-interval", year,178
511.txt,"month, relative-interval", last week,602
511.txt,"month, relative-interval",minute ,1206
511.txt,"month, relative-interval",minute ,1311
511.txt,day-month, 20 March,318
511.txt,season, Summer ,908
1085.txt,"month, relative-interval", last year,190
1091.txt,year,2004,338
1091.txt,"month, relative-interval",day,94
1091.txt,"month, relative-interval",year,138
1091.txt,"month, relative-interval", week,202
1091.txt,"month, relative-interval", year ,232
1091.txt,"month, relative-interval", week,693
1091.txt,"month, relative-interval", week,799
1091.txt,"month, relative-interval", season,813
1091.txt,"month, relative-interval", minute,864
1091.txt,"month, relative-interval", minute,918
1091.txt,"month, relative-interval",day ,1041
1091.txt,"month, relative-interval",day,1056
1091.txt,"month, relative-interval", last season,1145
1091.txt,"month, relative-interval", week,1191
505.txt,year,2000,610
505.txt,"month, relative-interval", week,322
505.txt,"month, relative-interval", day,354
505.txt,"month, relative-interval", week,967
505.txt,"month, relative-interval", last week,1102
505.txt,"month, relative-interval", week,1352
263.txt,year,2004,18
263.txt,year,2004,97
263.txt,year,2004,240
263.txt,year,2004,642
263.txt,year, 1998,843
263.txt,"month, relative-interval", year,122
288.txt,month, may ,465
288.txt,year,2004,1484
288.txt,"month, relative-interval", Last week,1005
288.txt,"month, relative-interval", last year,1469
1720.txt,"month, relative-interval", minute ,379
1720.txt,"month, relative-interval", month,422
1720.txt,"month, relative-interval", year,433
1720.txt,"month, relative-interval", few month,1124
1720.txt,"month, relative-interval", month ,1392
1720.txt,"month, relative-interval", month,1586
1720.txt,"month, relative-interval", year,2068
1720.txt,"month, relative-interval", next month ,2328
1720.txt,"month, relative-interval", month ,2510
1720.txt,"month, relative-interval", year,2527
1046.txt,month, may ,84
1046.txt,month, may ,344
1046.txt,month, may ,1055
1046.txt,"month, relative-interval", next month ,1472
1052.txt,"month, relative-interval",year,200
1052.txt,"month, relative-interval", year,1188
1052.txt,"month, relative-interval",week ,2160
1052.txt,"month, relative-interval",day,2183
1052.txt,dayofweek, sat ,998
1734.txt,month, July ,3150
1734.txt,year,2003,287
1734.txt,year,2005,486
1734.txt,year,2005,2119
1734.txt,year,2005,2300
1734.txt,year,2004,2879
1734.txt,year,2009,2938
1734.txt,"month, relative-interval", last year ,185
1734.txt,"month, relative-interval", year,929
1734.txt,"month, relative-interval", day,1649
1734.txt,"month, relative-interval", year ,2744
1734.txt,"month, relative-interval", hour,3098
1734.txt,"month, relative-interval",July last year,3151
1734.txt,"month, relative-interval", year ,3647
1044.txt,year,2001,780
1044.txt,year,2006,924
1044.txt,year, 1975,1042
1044.txt,"month, relative-interval", year,372
1722.txt,"month, relative-interval", today,105
1722.txt,"month, relative-interval", year,290
1722.txt,"month, relative-interval", year,377
1736.txt,month, may ,331
1736.txt,month, September ,827
1736.txt,year,2003,411
1736.txt,"month, relative-interval",year,659
1736.txt,"month, relative-interval", week ,2352
1736.txt,dayofweek, Sunday ,1042
1050.txt,"month, relative-interval", Today ,327
1050.txt,"month, relative-interval", Today ,645
1050.txt,"month, relative-interval", Today ,1167
1050.txt,"month, relative-interval", last year,2658
1078.txt,year, 1400,2604
1078.txt,"month, relative-interval",day,203
1078.txt,"month, relative-interval", next month,554
1078.txt,"month, relative-interval", last year,595
1078.txt,"month, relative-interval",day,1133
1078.txt,"month, relative-interval",year,1494
1078.txt,"month, relative-interval",day,1857
1078.txt,"month, relative-interval",day,2622
1078.txt,season, summer ,157
1078.txt,month-month,June-July,540
513.txt,"month, relative-interval", day,159
513.txt,"month, relative-interval", last year,283
513.txt,"month, relative-interval", week,413
513.txt,"month, relative-interval",year,537
513.txt,"month, relative-interval",day ,639
513.txt,"month, relative-interval", year,922
275.txt,month, February ,86
275.txt,year,2000,274
275.txt,year,2000,736
275.txt,year,2003,1173
275.txt,"month, relative-interval",day,445
275.txt,"month, relative-interval",day,459
275.txt,day-month, 1 February,84
261.txt,"month, relative-interval",day ,223
507.txt,month, October ,954
507.txt,year,2004,426
507.txt,year, 1996,962
507.txt,"month, relative-interval",month ,407
507.txt,"month, relative-interval",year,675
507.txt,"month, relative-interval",year ,874
507.txt,"month, relative-interval", hour,1027
507.txt,dayofweek, Saturday ,196
507.txt,dayofweek, Saturday ,529
1093.txt,"month, relative-interval",day ,593
1093.txt,"month, relative-interval",day,828
1093.txt,day-month, 17 December,340
249.txt,month, September ,265
249.txt,month, November ,1127
249.txt,year,2002,1778
249.txt,year,2005,2310
249.txt,year,2005,2444
249.txt,"month, relative-interval",day,1002
249.txt,"month, relative-interval", year,1067
249.txt,"month, relative-interval",year ,1076
249.txt,"month, relative-interval", last month,1339
249.txt,"month, relative-interval", week,1926
249.txt,"month, relative-interval",day ,2082
249.txt,"month, relative-interval", year ,2229
249.txt,"month, relative-interval", year ,2343
249.txt,"month, relative-interval", year ,2463
249.txt,season, fall ,1556
249.txt,season, fall ,1727
1520.txt,month, may ,2525
1520.txt,month, April ,2655
1520.txt,month, may ,4097
1520.txt,year,2004,2662
1520.txt,"month, relative-interval", day ,489
1520.txt,"month, relative-interval", week ,620
1520.txt,"month, relative-interval", day,977
